model,pathway,region,variables,unit,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
remind,SSP2-Base,CH,Distribution losses|Electricity|Low to medium,PJ/year,1,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
remind,SSP2-Base,CH,Production|Liquid fuel|Diesel|Diesel,PJ/year,104,110,103,91,79,68,59,59,59,59,59,59
remind,SSP2-Base,CH,Production|Liquid fuel|Diesel|Biodiesel,PJ/year,7,2,2,2,2,1,1,1,1,1,1,1
remind,SSP2-Base,CH,Production|Liquid fuel|Diesel|Synthetic diesel,PJ/year,0,0,0,0,0,0,0,0,0,0,0,0
remind,SSP2-Base,CH,Production|Liquid fuel|Petrol|Petrol,PJ/year,81.57,71.692,61.811,52.63,44.065,36.839,30.605,30.605,30.605,30.605,30.605,30.605
remind,SSP2-Base,CH,Production|Liquid fuel|Petrol|Bioethanol,PJ/year,1.242,0.724,0.624,0.532,0.445,0.372,0.309,0.309,0.309,0.309,0.309,0.309
remind,SSP2-Base,CH,Production|Liquid fuel|Petrol|Synthetic petrol,PJ/year,0,0,0,0,0,0,0,0,0,0,0,0
remind,SSP2-Base,CH,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,PJ/year,0,1,2,5,7,11,16,16,16,16,16,16
remind,SSP2-Base,CH,Production|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,PJ/year,0,0,0,0,0,0,0,0,0,0,0,0
remind,SSP2-Base,CH,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-Base,CH,Efficiency|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-Base,CH,Production|Gaseous fuel|Hydrogen|Gaseous to liquid,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-Base,CH,Distribution losses|Gaseous fuel|Hydrogen|Liquefaction,%,1,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
remind,SSP2-Base,CH,Distribution losses|Gaseous fuel|Hydrogen|Evaporation,%,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
remind,SSP2-Base,CH,Distribution losses|Gaseous fuel|Hydrogen|Leakage,%,1,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
remind,SSP2-Base,CH,Cushion gas|Gaseous fuel|Hydrogen|Geological storage,%,1,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
remind,SSP2-Base,CH,Efficiency|Gaseous fuel|Hydrogen|Liquefaction,%,1,1.110,1.220,1.440,1.630,1.820,2.000,2.000,2.000,2.000,2.000,2.000
remind,SSP2-Base,CH,Production|Liquid fuel|DAC,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-Base,CH,Production|Gaseous fuel|CNG,PJ/year,0.478,0.737,1.108,1.428,1.566,1.533,1.454,1.454,1.454,1.454,1.454,1.454
remind,SSP2-Base,CH,Production|Gaseous fuel|LNG,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-Base,CH,Production|Gaseous fuel|Biomethane,PJ/year,0.139,0.190,0.286,0.368,0.404,0.395,0.375,0.375,0.375,0.375,0.375,0.375
remind,SSP2-Base,CH,Production|Gaseous fuel|Synthetic gas,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-Base,CH,Production|Gaseous fuel|Low to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-Base,CH,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
remind,SSP2-PkBudg1100,CH,Production|Electricity|Run-of-river hydro,PJ/year,64.469,65.24,65.99,66.475,66.52,66.399,66.774,66.774,66.774,66.774,66.774,66.774
remind,SSP2-PkBudg1100,CH,Production|Electricity|Reservoir,PJ/year,76.154,80.284,84.002,84.46,91.094,92.855,94.097,94.097,94.097,94.097,94.097,94.097
remind,SSP2-PkBudg1100,CH,Production|Electricity|Nuclear|Boiling water reactor,PJ/year,37.302,28.043,14.964,0,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Production|Electricity|Nuclear|Pressure water reactor,PJ/year,42.064,31.623,16.874,0,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,6.721,6.604,6.5,6.409,6.327,6.255,6.192,6.192,6.192,6.192,6.192,6.192
remind,SSP2-PkBudg1100,CH,Production|Electricity|Conventional|Other,PJ/year,1.693,2.224,2.783,3.481,3.672,3.317,3.285,3.285,3.285,3.285,3.285,3.285
remind,SSP2-PkBudg1100,CH,Production|Electricity|Renewable|Photovoltaic,PJ/year,9.073,15.379,31.24,51.9,77.308,99.918,121.006,121.006,121.006,121.006,121.006,121.006
remind,SSP2-PkBudg1100,CH,Production|Electricity|Renewable|Wind turbines|Onshore,PJ/year,0.612,1.152,2.081,4.37,8.021,12.126,15.568,15.568,15.568,15.568,15.568,15.568
remind,SSP2-PkBudg1100,CH,Production|Electricity|Renewable|Geothermal,PJ/year,0,0.011,0.168,0.259,2.242,4.721,7.2,7.2,7.2,7.2,7.2,7.2
remind,SSP2-PkBudg1100,CH,Production|Electricity|Renewable|Biomass,PJ/year,0.994,0.976,0.95,0.839,0.767,0.626,0.587,0.587,0.587,0.587,0.587,0.587
remind,SSP2-PkBudg1100,CH,Production|Electricity|Renewable|Biogas,PJ/year,1.086,1.082,1.082,0.95,1.109,1.253,1.246,1.246,1.246,1.246,1.246,1.246
remind,SSP2-PkBudg1100,CH,Production|Electricity|Medium to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg1100,CH,Production|Electricity|Low to medium,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg1100,CH,Production|Electricity|Import,PJ/year,-21.6,12.6,46.8,35.1,23.4,11.7,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Transmission losses|Electricity|Medium to high,PJ/year,1,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
remind,SSP2-PkBudg1100,CH,Distribution losses|Electricity|Low to medium,PJ/year,1,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Diesel|Diesel,PJ/year,105.7,106.82,95.05,75.29,52.83,25.22,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Diesel|Biodiesel,PJ/year,5.24,2.67,1.8,2.54,3.6,4.93,5.34,5.34,5.34,5.34,5.34,5.34
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Diesel|Synthetic diesel,PJ/year,0,0,0,0,0,8.05,19.79,19.79,19.79,19.79,19.79,19.79
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Petrol|Petrol,PJ/year,81.525,67.881,54.198,41.869,29.514,16.03,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Petrol|Bioethanol,PJ/year,1.242,2.829,3.768,3.151,2.222,1.448,0.878,0.878,0.878,0.878,0.878,0.878
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|Petrol|Synthetic petrol,PJ/year,0,0,0,0,0,3.206,11.662,11.662,11.662,11.662,11.662,11.662
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,PJ/year,0,0,0,1,2,5,9,9,9,9,9,9
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,PJ/year,0,1,2,4,5,6,7,7,7,7,7,7
remind,SSP2-PkBudg1100,CH,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-PkBudg1100,CH,Efficiency|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Hydrogen|Gaseous to liquid,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg1100,CH,Distribution losses|Gaseous fuel|Hydrogen|Liquefaction,%,1,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
remind,SSP2-PkBudg1100,CH,Distribution losses|Gaseous fuel|Hydrogen|Evaporation,%,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
remind,SSP2-PkBudg1100,CH,Distribution losses|Gaseous fuel|Hydrogen|Leakage,%,1,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
remind,SSP2-PkBudg1100,CH,Cushion gas|Gaseous fuel|Hydrogen|Geological storage,%,1,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
remind,SSP2-PkBudg1100,CH,Efficiency|Gaseous fuel|Hydrogen|Liquefaction,%,1,1.110,1.220,1.440,1.630,1.820,2.000,2.000,2.000,2.000,2.000,2.000
remind,SSP2-PkBudg1100,CH,Production|Liquid fuel|DAC,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|CNG,PJ/year,0.498,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|LNG,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Biomethane,PJ/year,0.145,1.173,2.577,4.180,6.223,8.042,8.631,8.631,8.631,8.631,8.631,8.631
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Synthetic gas,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg1100,CH,Production|Gaseous fuel|Low to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg1100,CH,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
remind,SSP2-PkBudg900,CH,Production|Electricity|Run-of-river hydro,PJ/year,64.469,65.24,65.99,66.475,66.52,66.399,66.774,66.774,66.774,66.774,66.774,66.774
remind,SSP2-PkBudg900,CH,Production|Electricity|Reservoir,PJ/year,76.154,80.284,84.002,84.46,91.094,92.855,94.097,94.097,94.097,94.097,94.097,94.097
remind,SSP2-PkBudg900,CH,Production|Electricity|Nuclear|Boiling water reactor,PJ/year,37.302,28.043,14.964,0,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Production|Electricity|Nuclear|Pressure water reactor,PJ/year,42.064,31.623,16.874,0,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Production|Electricity|Conventional|Waste-to-Energy,PJ/year,6.721,6.604,6.5,6.409,6.327,6.255,6.192,6.192,6.192,6.192,6.192,6.192
remind,SSP2-PkBudg900,CH,Production|Electricity|Conventional|Other,PJ/year,1.693,2.224,2.783,3.481,3.672,3.317,3.285,3.285,3.285,3.285,3.285,3.285
remind,SSP2-PkBudg900,CH,Production|Electricity|Renewable|Photovoltaic,PJ/year,9.073,15.379,31.24,51.9,77.308,99.918,121.006,121.006,121.006,121.006,121.006,121.006
remind,SSP2-PkBudg900,CH,Production|Electricity|Renewable|Wind turbines|Onshore,PJ/year,0.612,1.152,2.081,4.37,8.021,12.126,15.568,15.568,15.568,15.568,15.568,15.568
remind,SSP2-PkBudg900,CH,Production|Electricity|Renewable|Geothermal,PJ/year,0,0.011,0.168,0.259,2.242,4.721,7.2,7.2,7.2,7.2,7.2,7.2
remind,SSP2-PkBudg900,CH,Production|Electricity|Renewable|Biomass,PJ/year,0.994,0.976,0.95,0.839,0.767,0.626,0.587,0.587,0.587,0.587,0.587,0.587
remind,SSP2-PkBudg900,CH,Production|Electricity|Renewable|Biogas,PJ/year,1.086,1.082,1.082,0.95,1.109,1.253,1.246,1.246,1.246,1.246,1.246,1.246
remind,SSP2-PkBudg900,CH,Production|Electricity|Medium to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg900,CH,Production|Electricity|Low to medium,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg900,CH,Production|Electricity|Import,PJ/year,-21.6,12.6,46.8,35.1,23.4,11.7,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Transmission losses|Electricity|Medium to high,PJ/year,1,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
remind,SSP2-PkBudg900,CH,Distribution losses|Electricity|Low to medium,PJ/year,1,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Diesel|Diesel,PJ/year,105.7,106.82,95.05,75.29,52.83,25.22,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Diesel|Biodiesel,PJ/year,5.24,2.67,1.8,2.54,3.6,4.93,5.34,5.34,5.34,5.34,5.34,5.34
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Diesel|Synthetic diesel,PJ/year,0,0,0,0,0,8.05,19.79,19.79,19.79,19.79,19.79,19.79
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Petrol|Petrol,PJ/year,81.525,67.881,54.198,41.869,29.514,16.03,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Petrol|Bioethanol,PJ/year,1.242,2.829,3.768,3.151,2.222,1.448,0.878,0.878,0.878,0.878,0.878,0.878
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|Petrol|Synthetic petrol,PJ/year,0,0,0,0,0,3.206,11.662,11.662,11.662,11.662,11.662,11.662
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,PJ/year,0,0,0,1,2,5,9,9,9,9,9,9
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,PJ/year,0,1,2,4,5,6,7,7,7,7,7,7
remind,SSP2-PkBudg900,CH,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-PkBudg900,CH,Efficiency|Gaseous fuel|Hydrogen|Neighboring countries|Electrolysis,%,61,63,66,68,70,73,75,75,75,75,75,75
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Hydrogen|Gaseous to liquid,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg900,CH,Distribution losses|Gaseous fuel|Hydrogen|Liquefaction,%,1,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
remind,SSP2-PkBudg900,CH,Distribution losses|Gaseous fuel|Hydrogen|Evaporation,%,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
remind,SSP2-PkBudg900,CH,Distribution losses|Gaseous fuel|Hydrogen|Leakage,%,1,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
remind,SSP2-PkBudg900,CH,Cushion gas|Gaseous fuel|Hydrogen|Geological storage,%,1,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
remind,SSP2-PkBudg900,CH,Efficiency|Gaseous fuel|Hydrogen|Liquefaction,%,1,1.110,1.220,1.440,1.630,1.820,2.000,2.000,2.000,2.000,2.000,2.000
remind,SSP2-PkBudg900,CH,Production|Liquid fuel|DAC,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|CNG,PJ/year,0.498,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|LNG,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Biomethane,PJ/year,0.145,1.173,2.577,4.180,6.223,8.042,8.631,8.631,8.631,8.631,8.631,8.631
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Synthetic gas,PJ/year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
remind,SSP2-PkBudg900,CH,Production|Gaseous fuel|Low to high,PJ/year,1,1,1,1,1,1,1,1,1,1,1,1
remind,SSP2-PkBudg900,CH,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Reservoir,PJ/year,666.22,669.694,674.011,670.346,690.76,711.591,730.723,730.723,730.723,730.723,730.723,730.723
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Nuclear,PJ/year,1687.313,1428.995,1158.156,666.961,294.026,165.244,32.634,32.634,32.634,32.634,32.634,32.634
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Coal,PJ/year,647.341,587.696,371.927,210.679,0,0,0,0,0,0,0,0
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Natural gas,PJ/year,958.045,944.126,1009.651,1344.794,1675.774,1382.118,1242.805,1242.805,1242.805,1242.805,1242.805,1242.805
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Conventional|Waste-to-Energy,PJ/year,223.776,221.4,219.226,246.204,207.295,236.977,240.462,240.462,240.462,240.462,240.462,240.462
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Renewable|Photovoltaic,PJ/year,308.724,414.291,592.01,728.462,937.187,1137.803,1290.061,1290.061,1290.061,1290.061,1290.061,1290.061
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Onshore,PJ/year,586.563,691.686,896.487,967.07,1073.637,1285.186,1457.717,1457.717,1457.717,1457.717,1457.717,1457.717
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Offshore,PJ/year,127.027,210.495,297.586,388.655,395.81,593.401,692.669,692.669,692.669,692.669,692.669,692.669
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Renewable|Biomass,PJ/year,219.931,232.164,242.87,226.044,202.997,179.276,159.577,159.577,159.577,159.577,159.577,159.577
remind,SSP2-Base,CH,Production|Electricity|Neighbor countries|Import,PJ/year,-175.262,-84.283,-58.32,111.377,229.468,187.812,143.633,143.633,143.633,143.633,143.633,143.633
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Reservoir,PJ/year,666.36,674.64,680.76,677.16,692.64,702,712.44,712.44,712.44,712.44,712.44,712.44
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Nuclear,PJ/year,1668.96,1369.44,1047.96,551.16,205.56,106.56,19.08,19.08,19.08,19.08,19.08,19.08
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Coal,PJ/year,686.16,576.36,247.32,40.68,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Natural gas,PJ/year,747.72,634.32,712.8,932.76,808.92,622.8,556.56,556.56,556.56,556.56,556.56,556.56
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Conventional|Waste-to-Energy,PJ/year,222.12,216.72,200.52,205.2,228.96,260.64,247.32,247.32,247.32,247.32,247.32,247.32
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Renewable|Photovoltaic,PJ/year,334.8,592.2,984.24,1406.16,1899.72,2437.2,2939.76,2939.76,2939.76,2939.76,2939.76,2939.76
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Onshore,PJ/year,615.24,774.72,1075.68,1343.88,1676.88,1926.36,2125.08,2125.08,2125.08,2125.08,2125.08,2125.08
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Offshore,PJ/year,156.24,325.8,596.16,876.96,1234.8,1554.48,1797.84,1797.84,1797.84,1797.84,1797.84,1797.84
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Renewable|Biomass,PJ/year,222.84,233.64,235.8,213.48,168.84,133.56,110.16,110.16,110.16,110.16,110.16,110.16
remind,SSP2-PkBudg1100,CH,Production|Electricity|Neighbor countries|Import,PJ/year,-215.28,-141.12,-159.48,-105.84,-253.44,-436.32,-650.16,-650.16,-650.16,-650.16,-650.16,-650.16
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Reservoir,PJ/year,666.36,674.64,680.76,677.16,692.64,702,712.44,712.44,712.44,712.44,712.44,712.44
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Nuclear,PJ/year,1668.96,1369.44,1047.96,551.16,205.56,106.56,19.08,19.08,19.08,19.08,19.08,19.08
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Coal,PJ/year,686.16,576.36,247.32,40.68,0,0,0,0,0,0,0,0
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Natural gas,PJ/year,747.72,634.32,712.8,932.76,808.92,622.8,556.56,556.56,556.56,556.56,556.56,556.56
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Conventional|Waste-to-Energy,PJ/year,222.12,216.72,200.52,205.2,228.96,260.64,247.32,247.32,247.32,247.32,247.32,247.32
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Renewable|Photovoltaic,PJ/year,334.8,592.2,984.24,1406.16,1899.72,2437.2,2939.76,2939.76,2939.76,2939.76,2939.76,2939.76
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Onshore,PJ/year,615.24,774.72,1075.68,1343.88,1676.88,1926.36,2125.08,2125.08,2125.08,2125.08,2125.08,2125.08
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Renewable|Wind turbines|Offshore,PJ/year,156.24,325.8,596.16,876.96,1234.8,1554.48,1797.84,1797.84,1797.84,1797.84,1797.84,1797.84
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Renewable|Biomass,PJ/year,222.84,233.64,235.8,213.48,168.84,133.56,110.16,110.16,110.16,110.16,110.16,110.16
remind,SSP2-PkBudg900,CH,Production|Electricity|Neighbor countries|Import,PJ/year,-215.28,-141.12,-159.48,-105.84,-253.44,-436.32,-650.16,-650.16,-650.16,-650.16,-650.16,-650.16
